equipment_id,timestamp,temperature,vibration,rpm,run_state
EQ-05,2026-08-01T00:06:00,73.269,2.537,2201.0,RUN
EQ-06,2026-08-01T00:06:00,64.325,2.11,1916.1,RUN
EQ-01,2026-08-01T00:07:00,61.19,1.992,1796.0,RUN
EQ-02,2026-08-01T00:07:00,68.106,2.067,1994.8,RUN
EQ-03,2026-08-01T00:07:00,61.377,1.818,1789.9,RUN
EQ-04,2026-08-01T00:07:00,55.855,1.851,1599.5,RUN
EQ-05,2026-08-01T00:07:00,73.261,2.536,2198.4,RUN
EQ-06,2026-08-01T00:07:00,63.991,2.206,1907.0,RUN
EQ-01,2026-08-01T00:08:00,61.292,1.789,1792.3,RUN
EQ-02,2026-08-01T00:08:00,68.257,2.179,1994.3,RUN
EQ-03,2026-08-01T00:08:00,61.436,2.082,1796.5,RUN
EQ-04,2026-08-01T00:08:00,55.704,1.962,1598.9,RUN
EQ-05,2026-08-01T00:08:00,73.489,2.601,2205.6,RUN
EQ-06,2026-08-01T00:08:00,64.5,2.104,1906.2,RUN
EQ-01,2026-08-01T00:09:00,60.996,1.889,1804.5,RUN
EQ-02,2026-08-01T00:09:00,67.595,2.161,1997.5,RUN
EQ-03,2026-08-01T00:09:00,61.352,1.927,1797.9,RUN
EQ-04,2026-08-01T00:09:00,56.008,2.086,1601.5,RUN
EQ-05,2026-08-01T00:09:00,73.341,2.579,2195.7,RUN
EQ-06,2026-08-01T00:09:00,64.338,2.315,1895.0,RUN
EQ-01,2026-08-01T00:10:00,61.6,1.847,1809.9,RUN
EQ-02,2026-08-01T00:10:00,67.175,2.172,2001.4,RUN
EQ-03,2026-08-01T00:10:00,61.182,1.99,1808.5,RUN
EQ-04,2026-08-01T00:10:00,55.761,1.975,1607.1,RUN
EQ-05,2026-08-01T00:10:00,73.648,2.334,2198.4,RUN
EQ-06,2026-08-01T00:10:00,64.723,2.122,1899.1,RUN
EQ-01,2026-08-01T00:11:00,61.561,1.984,1803.3,RUN
EQ-02,2026-08-01T00:11:00,67.355,2.026,1999.0,RUN
EQ-03,2026-08-01T00:11:00,61.758,2.069,1802.0,RUN
EQ-04,2026-08-01T00:11:00,54.693,1.8,1607.3,RUN
EQ-05,2026-08-01T00:11:00,73.9,2.364,2203.6,RUN
EQ-06,2026-08-01T00:11:00,64.246,2.212,1904.9,RUN
EQ-01,2026-08-01T00:12:00,61.309,2.025,1807.4,RUN
EQ-02,2026-08-01T00:12:00,67.881,2.235,1997.1,RUN
EQ-03,2026-08-01T00:12:00,61.934,2.082,1793.6,RUN
EQ-04,2026-08-01T00:12:00,55.01,1.688,1597.7,RUN
EQ-05,2026-08-01T00:12:00,73.68,2.459,2212.5,RUN
EQ-06,2026-08-01T00:12:00,64.116,2.105,1897.4,RUN
EQ-01,2026-08-01T00:13:00,61.678,1.94,1815.6,RUN
EQ-02,2026-08-01T00:13:00,67.015,2.128,2004.1,RUN
EQ-03,2026-08-01T00:13:00,61.265,1.853,1798.5,RUN
EQ-04,2026-08-01T00:13:00,55.523,1.756,1600.0,RUN
EQ-05,2026-08-01T00:13:00,73.378,2.651,2195.5,RUN
EQ-06,2026-08-01T00:13:00,64.567,2.082,1897.6,RUN
EQ-01,2026-08-01T00:14:00,61.444,2.093,1805.0,RUN
EQ-02,2026-08-01T00:14:00,67.831,2.027,1997.2,RUN
EQ-03,2026-08-01T00:14:00,60.869,2.046,1807.1,RUN
EQ-04,2026-08-01T00:14:00,56.084,1.825,1593.9,RUN
EQ-05,2026-08-01T00:14:00,73.686,2.296,2206.7,RUN
EQ-06,2026-08-01T00:14:00,64.823,2.117,1893.1,RUN
EQ-01,2026-08-01T00:15:00,60.977,2.009,1793.4,RUN
EQ-02,2026-08-01T00:15:00,67.262,2.157,1996.4,RUN
EQ-03,2026-08-01T00:15:00,61.195,2.114,1806.3,RUN
EQ-04,2026-08-01T00:15:00,55.355,1.75,1598.9,RUN
EQ-05,2026-08-01T00:15:00,73.831,2.465,2192.6,RUN
EQ-06,2026-08-01T00:15:00,63.73,2.124,1897.6,RUN
EQ-01,2026-08-01T00:16:00,61.404,2.127,1800.3,RUN
EQ-02,2026-08-01T00:16:00,67.398,2.13,2005.6,RUN
EQ-03,2026-08-01T00:16:00,61.305,1.917,1796.0,RUN
EQ-04,2026-08-01T00:16:00,55.01,1.761,1608.1,RUN
EQ-05,2026-08-01T00:16:00,74.024,2.548,2195.4,RUN
EQ-06,2026-08-01T00:16:00,64.636,1.925,1901.5,RUN
EQ-01,2026-08-01T00:17:00,60.936,1.957,1808.2,RUN
EQ-02,2026-08-01T00:17:00,67.033,2.228,2003.3,RUN
EQ-03,2026-08-01T00:17:00,60.498,2.091,1791.2,RUN
EQ-04,2026-08-01T00:17:00,55.767,1.878,1594.5,RUN
EQ-05,2026-08-01T00:17:00,73.319,2.423,2209.8,RUN
EQ-06,2026-08-01T00:17:00,63.78,2.241,1896.9,RUN
EQ-01,2026-08-01T00:18:00,61.576,2.365,1798.5,RUN
EQ-02,2026-08-01T00:18:00,66.85,2.155,1992.6,RUN
EQ-03,2026-08-01T00:18:00,61.737,2.045,1796.1,RUN
EQ-04,2026-08-01T00:18:00,56.058,1.777,1611.7,RUN
EQ-05,2026-08-01T00:18:00,74.202,2.671,2201.1,RUN
EQ-06,2026-08-01T00:18:00,64.757,2.012,1905.5,RUN
EQ-01,2026-08-01T00:19:00,61.248,1.932,1809.0,RUN
EQ-02,2026-08-01T00:19:00,67.212,2.049,1992.0,RUN
EQ-03,2026-08-01T00:19:00,61.043,2.055,1804.1,RUN
EQ-04,2026-08-01T00:19:00,55.204,1.839,1588.1,RUN
EQ-05,2026-08-01T00:19:00,73.66,2.379,2200.1,RUN
EQ-06,2026-08-01T00:19:00,63.637,2.009,1907.3,RUN
EQ-01,2026-08-01T00:20:00,61.198,1.892,1799.6,RUN
EQ-02,2026-08-01T00:20:00,67.763,2.116,1993.4,RUN
EQ-03,2026-08-01T00:20:00,60.974,2.1,1789.5,RUN
EQ-04,2026-08-01T00:20:00,55.294,1.774,1601.0,RUN
EQ-05,2026-08-01T00:20:00,73.648,2.421,2197.7,RUN
EQ-06,2026-08-01T00:20:00,64.503,2.054,1901.5,RUN
EQ-01,2026-08-01T00:21:00,61.022,1.877,1802.0,RUN
EQ-02,2026-08-01T00:21:00,67.059,2.016,1999.8,RUN
EQ-03,2026-08-01T00:21:00,61.141,1.89,1799.0,RUN
EQ-04,2026-08-01T00:21:00,56.05,1.56,1594.9,RUN
EQ-05,2026-08-01T00:21:00,73.35,2.54,2196.6,RUN
EQ-06,2026-08-01T00:21:00,64.462,2.127,1899.3,RUN
EQ-01,2026-08-01T00:22:00,61.685,1.975,1797.9,RUN
EQ-02,2026-08-01T00:22:00,67.866,2.359,2007.1,RUN
EQ-03,2026-08-01T00:22:00,61.092,1.883,1792.7,RUN
EQ-04,2026-08-01T00:22:00,55.027,1.559,1586.1,RUN
EQ-05,2026-08-01T00:22:00,73.13,2.425,2197.0,RUN
EQ-06,2026-08-01T00:22:00,64.215,2.095,1909.1,RUN
EQ-01,2026-08-01T00:23:00,61.201,1.794,1801.0,RUN
EQ-02,2026-08-01T00:23:00,67.098,2.379,2008.7,RUN
EQ-03,2026-08-01T00:23:00,61.275,2.136,1797.1,RUN
EQ-04,2026-08-01T00:23:00,55.098,1.846,1605.6,RUN
EQ-05,2026-08-01T00:23:00,73.097,2.529,2207.2,RUN
EQ-06,2026-08-01T00:23:00,64.491,2.15,1902.4,RUN
EQ-01,2026-08-01T00:24:00,61.102,2.035,1801.3,RUN
EQ-02,2026-08-01T00:24:00,66.922,2.393,2004.5,RUN
EQ-03,2026-08-01T00:24:00,61.528,1.96,1803.1,RUN
EQ-04,2026-08-01T00:24:00,55.09,1.79,1600.4,RUN
EQ-05,2026-08-01T00:24:00,74.214,2.629,2194.0,RUN
EQ-06,2026-08-01T00:24:00,64.515,2.055,1897.2,RUN
EQ-01,2026-08-01T00:25:00,61.126,1.771,1790.3,RUN
EQ-02,2026-08-01T00:25:00,67.382,2.152,2011.5,RUN
EQ-03,2026-08-01T00:25:00,61.696,1.823,1799.6,RUN
EQ-04,2026-08-01T00:25:00,55.525,1.817,1602.5,RUN
EQ-05,2026-08-01T00:25:00,74.086,2.421,2193.1,RUN
EQ-06,2026-08-01T00:25:00,64.421,2.296,1895.1,RUN
EQ-01,2026-08-01T00:26:00,61.433,2.019,1797.4,RUN
EQ-02,2026-08-01T00:26:00,67.528,2.378,2001.2,RUN
EQ-03,2026-08-01T00:26:00,61.523,1.978,1804.2,RUN
EQ-04,2026-08-01T00:26:00,55.364,1.834,1595.4,RUN
EQ-05,2026-08-01T00:26:00,73.801,2.168,2194.8,RUN
EQ-06,2026-08-01T00:26:00,63.915,2.074,1909.8,RUN
EQ-01,2026-08-01T00:27:00,61.372,1.838,1792.6,RUN
EQ-02,2026-08-01T00:27:00,67.354,2.272,2006.7,RUN
EQ-03,2026-08-01T00:27:00,60.914,1.985,1807.3,RUN
EQ-04,2026-08-01T00:27:00,55.25,1.827,1604.7,RUN
EQ-05,2026-08-01T00:27:00,73.193,2.628,2197.9,RUN
EQ-06,2026-08-01T00:27:00,63.912,2.165,1907.9,RUN
EQ-01,2026-08-01T00:28:00,61.386,1.954,1797.6,RUN
EQ-02,2026-08-01T00:28:00,67.338,2.124,1996.6,RUN
EQ-03,2026-08-01T00:28:00,61.203,2.028,1822.4,RUN
EQ-04,2026-08-01T00:28:00,55.765,1.794,1597.3,RUN
EQ-05,2026-08-01T00:28:00,73.54,2.625,2188.1,RUN
EQ-06,2026-08-01T00:28:00,64.478,1.875,1904.8,RUN
EQ-01,2026-08-01T00:29:00,61.389,2.073,1795.2,RUN
EQ-02,2026-08-01T00:29:00,67.843,2.147,1990.7,RUN
EQ-03,2026-08-01T00:29:00,61.275,1.952,1805.4,RUN
EQ-04,2026-08-01T00:29:00,55.743,1.954,1605.7,RUN
EQ-05,2026-08-01T00:29:00,73.056,2.245,2193.6,RUN
EQ-06,2026-08-01T00:29:00,63.819,1.927,1901.6,RUN
EQ-01,2026-08-01T00:30:00,61.985,2.276,1806.1,RUN
EQ-02,2026-08-01T00:30:00,67.313,2.202,1998.1,RUN
EQ-03,2026-08-01T00:30:00,61.343,2.207,1803.6,RUN
EQ-04,2026-08-01T00:30:00,55.959,1.826,1597.0,RUN
EQ-05,2026-08-01T00:30:00,73.359,2.456,2201.9,RUN
EQ-06,2026-08-01T00:30:00,63.488,1.998,1899.0,RUN
EQ-01,2026-08-01T00:31:00,61.091,1.871,1806.1,RUN
EQ-02,2026-08-01T00:31:00,67.112,2.235,1999.2,RUN
EQ-03,2026-08-01T00:31:00,61.404,1.891,1796.1,RUN
EQ-04,2026-08-01T00:31:00,55.471,1.829,1605.7,RUN
EQ-05,2026-08-01T00:31:00,73.015,2.472,2202.1,RUN
EQ-06,2026-08-01T00:31:00,64.012,2.03,1895.5,RUN
EQ-01,2026-08-01T00:32:00,61.051,1.982,1803.4,RUN
EQ-02,2026-08-01T00:32:00,66.878,2.266,2015.5,RUN
EQ-03,2026-08-01T00:32:00,61.258,1.765,1805.4,RUN
EQ-04,2026-08-01T00:32:00,55.718,1.739,1602.4,RUN
EQ-05,2026-08-01T00:32:00,73.424,2.416,2207.7,RUN
EQ-06,2026-08-01T00:32:00,63.912,2.091,1902.3,RUN
EQ-01,2026-08-01T00:33:00,60.943,1.913,1792.4,RUN
EQ-02,2026-08-01T00:33:00,67.718,2.223,2000.0,RUN
EQ-03,2026-08-01T00:33:00,61.198,1.822,1809.4,RUN
EQ-04,2026-08-01T00:33:00,55.045,1.662,1609.1,RUN
EQ-05,2026-08-01T00:33:00,73.439,2.51,2201.5,RUN
EQ-06,2026-08-01T00:33:00,64.464,2.233,1892.2,RUN
EQ-01,2026-08-01T00:34:00,61.441,1.896,1799.4,RUN
EQ-02,2026-08-01T00:34:00,67.12,2.181,1993.9,RUN
EQ-03,2026-08-01T00:34:00,61.544,1.91,1795.9,RUN
EQ-04,2026-08-01T00:34:00,55.695,2.061,1602.5,RUN
EQ-05,2026-08-01T00:34:00,73.334,2.472,2203.8,RUN
EQ-06,2026-08-01T00:34:00,64.315,1.867,1911.9,RUN
EQ-01,2026-08-01T00:35:00,61.618,1.914,1791.9,RUN
EQ-02,2026-08-01T00:35:00,67.152,2.385,2005.8,RUN
EQ-03,2026-08-01T00:35:00,61.176,2.055,1796.6,RUN
EQ-04,2026-08-01T00:35:00,55.709,1.899,1606.8,RUN
EQ-05,2026-08-01T00:35:00,73.234,2.454,2207.5,RUN
EQ-06,2026-08-01T00:35:00,64.636,2.17,1908.6,RUN
EQ-01,2026-08-01T00:36:00,61.18,2.099,1799.1,RUN
EQ-02,2026-08-01T00:36:00,67.632,2.209,1995.4,RUN
EQ-03,2026-08-01T00:36:00,61.555,1.974,1796.1,RUN
EQ-04,2026-08-01T00:36:00,55.161,1.83,1602.0,RUN
EQ-05,2026-08-01T00:36:00,73.499,2.499,2197.7,RUN
EQ-06,2026-08-01T00:36:00,64.627,2.027,1909.1,RUN
EQ-01,2026-08-01T00:37:00,60.923,1.941,1803.9,RUN
EQ-02,2026-08-01T00:37:00,67.98,2.202,2000.9,RUN
EQ-03,2026-08-01T00:37:00,61.502,2.04,1792.1,RUN
EQ-04,2026-08-01T00:37:00,55.646,1.772,1605.4,RUN
EQ-05,2026-08-01T00:37:00,73.738,2.69,2206.2,RUN
EQ-06,2026-08-01T00:37:00,64.482,2.04,1895.6,RUN
EQ-01,2026-08-01T00:38:00,60.926,2.27,1806.0,RUN
EQ-02,2026-08-01T00:38:00,67.347,2.197,2005.3,RUN
EQ-03,2026-08-01T00:38:00,61.723,1.918,1799.9,RUN
EQ-04,2026-08-01T00:38:00,55.518,1.875,1600.6,RUN
EQ-05,2026-08-01T00:38:00,73.998,2.365,2203.2,RUN
EQ-06,2026-08-01T00:38:00,63.806,2.362,1904.9,RUN
EQ-01,2026-08-01T00:39:00,61.44,2.05,1802.8,RUN
EQ-02,2026-08-01T00:39:00,67.208,2.209,1994.4,RUN
EQ-03,2026-08-01T00:39:00,61.289,2.047,1791.9,RUN
EQ-04,2026-08-01T00:39:00,55.592,1.74,1600.5,RUN
EQ-05,2026-08-01T00:39:00,73.303,2.373,2198.8,RUN
EQ-06,2026-08-01T00:39:00,64.498,2.115,1909.3,RUN
EQ-01,2026-08-01T00:40:00,61.47,1.879,1807.6,RUN
EQ-02,2026-08-01T00:40:00,67.252,2.059,2009.1,RUN
EQ-03,2026-08-01T00:40:00,61.715,1.808,1799.4,RUN
EQ-04,2026-08-01T00:40:00,55.759,1.885,1607.8,RUN
EQ-05,2026-08-01T00:40:00,73.752,2.569,2204.8,RUN
EQ-06,2026-08-01T00:40:00,64.99,2.052,1895.3,RUN
EQ-01,2026-08-01T00:41:00,61.397,1.956,1801.6,RUN
EQ-02,2026-08-01T00:41:00,67.092,2.102,2006.8,RUN
EQ-03,2026-08-01T00:41:00,61.101,2.017,1801.9,RUN
EQ-04,2026-08-01T00:41:00,55.487,1.98,1600.5,RUN
EQ-05,2026-08-01T00:41:00,73.743,2.559,2191.3,RUN
EQ-06,2026-08-01T00:41:00,64.212,1.977,1898.2,RUN
EQ-01,2026-08-01T00:42:00,60.972,1.904,1798.6,RUN
EQ-02,2026-08-01T00:42:00,67.124,2.516,2002.1,RUN
EQ-03,2026-08-01T00:42:00,61.326,2.069,1801.7,RUN
EQ-04,2026-08-01T00:42:00,55.829,1.791,1590.6,RUN
EQ-05,2026-08-01T00:42:00,73.664,2.331,2199.4,RUN
EQ-06,2026-08-01T00:42:00,64.47,2.182,1900.2,RUN
EQ-01,2026-08-01T00:43:00,61.284,2.096,1805.2,RUN
EQ-02,2026-08-01T00:43:00,67.124,2.025,2010.5,RUN
EQ-03,2026-08-01T00:43:00,61.47,1.887,1797.0,RUN
EQ-04,2026-08-01T00:43:00,55.03,1.986,1602.3,RUN
EQ-05,2026-08-01T00:43:00,73.844,2.379,2199.3,RUN
EQ-06,2026-08-01T00:43:00,64.077,1.982,1910.7,RUN
EQ-01,2026-08-01T00:44:00,61.241,1.803,1805.4,RUN
EQ-02,2026-08-01T00:44:00,67.563,2.255,1997.7,RUN
EQ-03,2026-08-01T00:44:00,60.846,2.199,1790.7,RUN
EQ-04,2026-08-01T00:44:00,55.116,1.769,1608.1,RUN
EQ-05,2026-08-01T00:44:00,73.587,2.411,2205.6,RUN
EQ-06,2026-08-01T00:44:00,63.29,1.929,1886.9,RUN
EQ-01,2026-08-01T00:45:00,61.274,1.839,1796.9,RUN
EQ-02,2026-08-01T00:45:00,67.211,2.264,2004.8,RUN
EQ-03,2026-08-01T00:45:00,61.06,1.772,1807.3,RUN
EQ-04,2026-08-01T00:45:00,55.359,1.587,1600.4,RUN
EQ-05,2026-08-01T00:45:00,73.522,2.395,2200.3,RUN
EQ-06,2026-08-01T00:45:00,63.957,1.955,1908.1,RUN
EQ-01,2026-08-01T00:46:00,61.5,1.929,1802.3,RUN
EQ-02,2026-08-01T00:46:00,67.715,2.344,2001.7,RUN
EQ-03,2026-08-01T00:46:00,60.961,2.082,1789.4,RUN
EQ-04,2026-08-01T00:46:00,55.144,1.899,1599.9,RUN
EQ-05,2026-08-01T00:46:00,73.736,2.336,2202.6,RUN
EQ-06,2026-08-01T00:46:00,64.682,2.03,1909.4,RUN
EQ-01,2026-08-01T00:47:00,61.271,2.082,1798.2,RUN
EQ-02,2026-08-01T00:47:00,67.196,2.267,1996.2,RUN
EQ-03,2026-08-01T00:47:00,61.172,2.098,1800.7,RUN
EQ-04,2026-08-01T00:47:00,55.502,1.788,1597.0,RUN
EQ-05,2026-08-01T00:47:00,74.189,2.637,2205.6,RUN
EQ-06,2026-08-01T00:47:00,64.085,2.261,1908.4,RUN
EQ-01,2026-08-01T00:48:00,61.428,2.148,1787.9,RUN
EQ-02,2026-08-01T00:48:00,67.106,2.45,1996.4,RUN
EQ-03,2026-08-01T00:48:00,61.004,1.894,1808.9,RUN
EQ-04,2026-08-01T00:48:00,55.291,1.9,1596.5,RUN
EQ-05,2026-08-01T00:48:00,72.987,2.379,2199.8,RUN
EQ-06,2026-08-01T00:48:00,64.518,2.194,1895.6,RUN
EQ-01,2026-08-01T00:49:00,61.212,2.166,1802.6,RUN
EQ-02,2026-08-01T00:49:00,67.679,2.252,2012.2,RUN
EQ-03,2026-08-01T00:49:00,61.225,2.035,1800.6,RUN
EQ-04,2026-08-01T00:49:00,55.302,1.666,1594.9,RUN
EQ-05,2026-08-01T00:49:00,73.581,2.503,2189.8,RUN
EQ-06,2026-08-01T00:49:00,64.697,2.008,1896.0,RUN
EQ-01,2026-08-01T00:50:00,61.287,2.064,1792.2,RUN
EQ-02,2026-08-01T00:50:00,67.237,2.385,2006.4,RUN
EQ-03,2026-08-01T00:50:00,61.158,1.894,1807.7,RUN
EQ-04,2026-08-01T00:50:00,55.289,1.742,1598.7,RUN
EQ-05,2026-08-01T00:50:00,73.366,2.466,2200.6,RUN
EQ-06,2026-08-01T00:50:00,63.992,2.18,1892.3,RUN
EQ-01,2026-08-01T00:51:00,61.404,1.99,1802.0,RUN
EQ-02,2026-08-01T00:51:00,67.183,2.348,2005.3,RUN
EQ-03,2026-08-01T00:51:00,61.085,2.033,1803.1,RUN
EQ-04,2026-08-01T00:51:00,55.485,1.962,1591.7,RUN
EQ-05,2026-08-01T00:51:00,73.139,2.477,2193.4,RUN
EQ-06,2026-08-01T00:51:00,63.962,1.947,1905.1,RUN
EQ-01,2026-08-01T00:52:00,60.671,2.095,1790.8,RUN
EQ-02,2026-08-01T00:52:00,67.237,2.408,1996.2,RUN
EQ-03,2026-08-01T00:52:00,61.234,1.971,1791.6,RUN
EQ-04,2026-08-01T00:52:00,55.397,1.836,1588.2,RUN
EQ-05,2026-08-01T00:52:00,73.699,2.509,2200.8,RUN
EQ-06,2026-08-01T00:52:00,64.002,1.892,1902.8,RUN
EQ-01,2026-08-01T00:53:00,61.067,1.863,1795.7,RUN
EQ-02,2026-08-01T00:53:00,67.736,2.226,2004.2,RUN
EQ-03,2026-08-01T00:53:00,60.94,1.997,1807.9,RUN
EQ-04,2026-08-01T00:53:00,55.526,1.98,1599.5,RUN
EQ-05,2026-08-01T00:53:00,73.398,2.392,2201.0,RUN
EQ-06,2026-08-01T00:53:00,63.755,2.294,1886.8,RUN
EQ-01,2026-08-01T00:54:00,61.012,1.779,1797.4,RUN
EQ-02,2026-08-01T00:54:00,67.327,2.271,1997.8,RUN
EQ-03,2026-08-01T00:54:00,60.874,1.927,1796.5,RUN
EQ-04,2026-08-01T00:54:00,55.259,1.725,1604.8,RUN
EQ-05,2026-08-01T00:54:00,73.341,2.475,2207.8,RUN
EQ-06,2026-08-01T00:54:00,64.138,2.325,1905.3,RUN
EQ-01,2026-08-01T00:55:00,60.95,2.052,1807.2,RUN
EQ-02,2026-08-01T00:55:00,67.655,2.179,2010.2,RUN
EQ-03,2026-08-01T00:55:00,60.756,1.928,1797.4,RUN
EQ-04,2026-08-01T00:55:00,54.746,2.084,1590.6,RUN
EQ-05,2026-08-01T00:55:00,73.622,2.199,2200.2,RUN
EQ-06,2026-08-01T00:55:00,63.571,2.019,1901.8,RUN
EQ-01,2026-08-01T00:56:00,61.075,1.879,1796.8,RUN
EQ-02,2026-08-01T00:56:00,67.134,2.242,2007.3,RUN
EQ-03,2026-08-01T00:56:00,60.546,1.904,1804.1,RUN
EQ-04,2026-08-01T00:56:00,55.649,2.074,1613.4,RUN
EQ-05,2026-08-01T00:56:00,73.782,2.313,2198.8,RUN
EQ-06,2026-08-01T00:56:00,63.28,1.961,1905.1,RUN
EQ-01,2026-08-01T00:57:00,61.693,1.992,1793.6,RUN
EQ-02,2026-08-01T00:57:00,67.595,2.249,2005.5,RUN
EQ-03,2026-08-01T00:57:00,60.932,2.074,1794.3,RUN
EQ-04,2026-08-01T00:57:00,55.115,1.891,1605.4,RUN
EQ-05,2026-08-01T00:57:00,73.121,2.489,2196.3,RUN
EQ-06,2026-08-01T00:57:00,64.301,2.15,1904.6,RUN
EQ-01,2026-08-01T00:58:00,60.864,2.014,1802.2,RUN
EQ-02,2026-08-01T00:58:00,67.294,1.974,2004.9,RUN
EQ-03,2026-08-01T00:58:00,61.356,2.197,1805.6,RUN
EQ-04,2026-08-01T00:58:00,55.484,1.819,1601.4,RUN
EQ-05,2026-08-01T00:58:00,73.575,2.432,2201.2,RUN
EQ-06,2026-08-01T00:58:00,63.979,2.149,1898.3,RUN
EQ-01,2026-08-01T00:59:00,61.504,2.03,1798.7,RUN
EQ-02,2026-08-01T00:59:00,67.518,2.206,1999.5,RUN
EQ-03,2026-08-01T00:59:00,61.096,2.271,1802.5,RUN
EQ-04,2026-08-01T00:59:00,55.383,1.853,1609.5,RUN
EQ-05,2026-08-01T00:59:00,73.992,2.318,2206.8,RUN
EQ-06,2026-08-01T00:59:00,63.908,2.059,1899.7,RUN
EQ-01,2026-08-01T01:00:00,60.574,2.113,1804.7,RUN
EQ-02,2026-08-01T01:00:00,67.545,2.33,2002.9,RUN
EQ-03,2026-08-01T01:00:00,61.167,2.11,1809.9,RUN
EQ-04,2026-08-01T01:00:00,56.156,1.926,1597.5,RUN
EQ-05,2026-08-01T01:00:00,73.554,2.418,2193.4,RUN
EQ-06,2026-08-01T01:00:00,64.463,2.009,1899.3,RUN
EQ-01,2026-08-01T01:01:00,61.043,2.1,1793.9,RUN
EQ-02,2026-08-01T01:01:00,66.875,2.061,2009.2,RUN
EQ-03,2026-08-01T01:01:00,61.019,1.997,1806.9,RUN
EQ-04,2026-08-01T01:01:00,54.441,1.831,1600.2,RUN
EQ-05,2026-08-01T01:01:00,73.457,2.572,2203.2,RUN
EQ-06,2026-08-01T01:01:00,64.227,2.226,1903.3,RUN
EQ-01,2026-08-01T01:02:00,61.215,2.023,1801.3,RUN
EQ-02,2026-08-01T01:02:00,67.228,2.104,2002.8,RUN
EQ-03,2026-08-01T01:02:00,61.835,2.117,1798.8,RUN
EQ-04,2026-08-01T01:02:00,55.147,1.759,1590.5,RUN
EQ-05,2026-08-01T01:02:00,73.428,2.716,2197.5,RUN
EQ-06,2026-08-01T01:02:00,63.738,2.151,1904.7,RUN
EQ-01,2026-08-01T01:03:00,61.361,1.947,1814.8,RUN
EQ-02,2026-08-01T01:03:00,67.535,2.362,1995.0,RUN
EQ-03,2026-08-01T01:03:00,61.214,2.04,1797.5,RUN
EQ-04,2026-08-01T01:03:00,55.506,1.677,1600.7,RUN
EQ-05,2026-08-01T01:03:00,72.786,2.288,2198.7,RUN
EQ-06,2026-08-01T01:03:00,64.256,2.06,1894.1,RUN
EQ-01,2026-08-01T01:04:00,61.403,2.013,1798.6,RUN
EQ-02,2026-08-01T01:04:00,67.589,2.384,2007.5,RUN
EQ-03,2026-08-01T01:04:00,60.955,1.956,1795.6,RUN
